singer,num_song,meanthumb,meansenti
The Guggenheim Grotto,1,4249.5,0.100198412698
汪明荃,1,3114.0,0.1
堀江由衣,2,2121.0,-0.3
灵感,1,4754.42857143,0.123809523809
The Weepies,2,6778.35714286,0.0557378807379
MΣ$†ΛMN ΣKCПØNΛ†,1,3436.0,0.0
袁娅维,2,4503.92307692,0.0644899971823
宋智恩,1,1823.0,0.0
G.E.M.邓紫棋,23,4965.40909091,0.0758784482248
Far Too Loud,1,4345.0,0.227678571429
Arco,1,3541.5,0.125
周逸群,1,3756.57142857,4.28565912916e-14
Olivia O'Brien,1,3195.0,0.166666666667
黄龄,6,3737.76923077,0.0882594743336
Ivan Torrent,2,4796.91666667,0.0578197843823
Adele,13,6166.82432432,0.0522705563269
phaolobeats,2,2107.14285714,0.0311791383219
吴彤,2,6692.81818182,0.0290499533146
Dennis Kuo,4,3045.9,0.0863527756356
Alan Silvestri,2,4818.2,0.060281832031
onoken,1,1630.0,0.114285714286
区文诗,1,6326.125,0.00562133944491
Samantha Mumba,2,2069.0,0.125
Bee Gees,1,3672.5,-0.0555555555555
杉田智和,1,1978.0,0.0
East Root,1,2218.0,0.0
Sibel,1,1627.0,-0.25
KRNE,1,1697.0,0.1
玉面小嫣然,1,1743.0,0.047619047619
緑川光,1,3694.33333333,0.030303030303
McKay,1,1944.0,-0.0555555555555
諫山実生,1,2325.0,0.5
EZ-Ven,1,3549.4,-0.118571428571
NGC 3.14,2,2979.25,0.141865079365
朴明秀,4,3245.5,0.0608843537415
冷炫忱Curtis,3,3970.25,0.0483984674329
Goldwave,1,2020.0,0.15
李宇春,10,4030.41304348,0.0750278226881
Rixton,3,13557.2857143,-0.0194264957812
张学友,50,4655.92349727,0.0400191222065
R3AKTIV,1,1573.0,-0.0344827586207
Jeff Bernat,1,2396.0,0.4
Selina,1,2475.66666667,0.074074074074
Ronan Parke,1,2568.0,0.0
Niykee Heaton,2,6154.07142857,0.0279878506587
Alwone,2,1870.5,0.166666666666
Tizzy T,3,4221.6,0.169444444444
